Year of Death,Locality,Locality Name,Drug Class,Death Count,Death Rate
2018,51590,Danville,All Drugs,8,19.66
2016,51007,Amelia,Any Opioids,*,*
2015,51115,Mathews,Rx N SS Methadone,0,0
2018,51790,Staunton,S Opioids No Methadone,*,*
2015,51830,Williamsburg,S Opioids No Methadone,0,0
2018,51077,Grayson,Methadone,0,0
2016,51135,Nottoway,Heroin,0,0
2017,51680,Lynchburg,Heroin,*,*
2015,51041,Chesterfield,Any Opioids,26,7.75
2016,51029,Buckingham,All Drugs,0,0
2018,51167,Russell,Any Opioids,*,*
2017,51145,Powhatan,N SS Opioids,0,0
2016,51155,Pulaski,S Opioids No Methadone,*,*
2015,51135,Nottoway,Methadone,0,0
2017,51059,Fairfax,S Opioids No Methadone,75,6.53
2017,51580,Covington,Rx N SS Methadone,*,*
2017,51760,Richmond City,S Opioids No Methadone,56,24.67
2017,51620,Franklin City,Methadone,0,0
2016,51760,Richmond City,N SS S Opioids,49,21.96
2016,51063,Floyd,Rx N SS Methadone,0,0
2016,51025,Brunswick,Rx N SS Methadone,*,*
2016,51169,Scott,Rx N SS Methadone,*,*
2016,51187,Warren,N SS S Opioids,8,20.43
2015,51157,Rappahannock,S Opioids No Methadone,0,0
2015,51145,Powhatan,Rx N SS Methadone,0,0
2018,51049,Cumberland,N SS Opioids,0,0
2018,51097,King and Queen,N SS Opioids,0,0
2018,51800,Suffolk,N SS Opioids,*,*
2017,51690,Martinsville,N SS Opioids,*,*
2018,51197,Wythe,Any Opioids,*,*
2018,51173,Smyth,N SS Opioids,0,0
2015,51127,New Kent,Methadone,0,0
2018,51159,Richmond County,Methadone,0,0
2016,51093,Isle of Wight,S Opioids No Methadone,*,*
2017,51199,York,Methadone,*,*
2017,51093,Isle of Wight,N SS S Opioids,*,*
2016,51031,Campbell,Methadone,*,*
2016,51003,Albemarle,S Opioids No Methadone,0,0
2017,51003,Albemarle,N SS S Opioids,*,*
2017,51195,Wise,Rx N SS Methadone,7,18.14
2018,51073,Gloucester,Methadone,0,0
2016,51103,Lancaster,Methadone,0,0
2017,51149,Prince George,All Drugs,10,26.45
2015,51001,Accomack,Any Opioids,*,*
2016,51079,Greene,All Drugs,0,0
2016,51770,Roanoke City,Any Opioids,10,10.02
2015,51051,Dickenson,Rx N SS Methadone,*,*
2018,51510,Alexandria,N SS Opioids,*,*
2015,51141,Patrick,S Opioids No Methadone,*,*
2018,51036,Charles City,All Drugs,*,*
2018,51157,Rappahannock,Any Opioids,0,0
2017,51820,Waynesboro,All Drugs,*,*
2016,51187,Warren,Any Opioids,9,22.99
2015,51550,Chesapeake,Methadone,*,*
2016,51089,Henry,All Drugs,7,13.61
2015,51015,Augusta,Heroin,0,0
2016,51059,Fairfax,N SS Opioids,25,2.20
2017,51113,Madison,Heroin,0,0
2017,51155,Pulaski,N SS Opioids,*,*
2016,51145,Powhatan,S Opioids No Methadone,*,*
2018,51047,Culpeper,N SS S Opioids,11,21.21
2016,51181,Surry,Any Opioids,0,0
2015,51099,King George,Heroin,*,*
2018,51700,Newport News,S Opioids No Methadone,22,12.32
2016,51081,Greensville,N SS Opioids,0,0
2018,51163,Rockbridge,Any Opioids,0,0
2015,51057,Essex,Any Opioids,0,0
2015,51013,Arlington,N SS S Opioids,15,6.55
2016,51530,Buena Vista City,Any Opioids,0,0
2018,51179,Stafford,S Opioids No Methadone,15,10.00
2016,51113,Madison,S Opioids No Methadone,*,*
2017,51161,Roanoke County,N SS S Opioids,14,14.94
2018,51750,Radford,All Drugs,*,*
2015,51630,Fredericksburg,Heroin,*,*
2017,51145,Powhatan,Heroin,5,17.48
2015,51083,Halifax,N SS S Opioids,*,*
2017,51147,Prince Edward,All Drugs,*,*
2016,51171,Shenandoah,Heroin,*,*
2016,51161,Roanoke County,S Opioids No Methadone,8,8.51
2017,51670,Hopewell,N SS S Opioids,9,39.79
2018,51067,Franklin County,Methadone,0,0
2017,51093,Isle of Wight,Any Opioids,*,*
2016,51185,Tazewell,S Opioids No Methadone,*,*
2015,51775,Salem,Methadone,0,0
2017,51087,Henrico,Methadone,*,*
2018,51011,Appomattox,Methadone,0,0
2017,51111,Lunenburg,Methadone,0,0
2016,51085,Hanover,S Opioids No Methadone,6,5.75
2015,51197,Wythe,Any Opioids,5,17.17
2016,51091,Highland,N SS Opioids,0,0
2015,51159,Richmond County,Methadone,0,0
2015,51173,Smyth,N SS Opioids,*,*
2018,51127,New Kent,Methadone,0,0
2018,51181,Surry,Any Opioids,*,*
2016,51047,Culpeper,N SS S Opioids,9,17.97
2017,51179,Stafford,Heroin,9,6.14
2018,51145,Powhatan,S Opioids No Methadone,*,*
2015,51025,Brunswick,Any Opioids,*,*
2018,51059,Fairfax,N SS Opioids,17,1.48
2017,51710,Norfolk,Heroin,26,10.63
2016,51125,Nelson,Rx N SS Methadone,*,*
2018,51187,Warren,Methadone,*,*
2018,51079,Greene,Heroin,0,0
2017,51175,Southampton,Heroin,0,0
2016,51650,Hampton,Heroin,16,11.82
2016,51810,Virginia Beach,S Opioids No Methadone,46,10.16
2015,51610,Falls Church,Methadone,0,0
2018,51149,Prince George,Any Opioids,5,13.13
2016,51197,Wythe,Rx N SS Methadone,5,17.23
2015,51089,Henry,N SS Opioids,*,*
2015,51690,Martinsville,S Opioids No Methadone,*,*
2017,51810,Virginia Beach,N SS S Opioids,45,9.99
2018,51199,York,S Opioids No Methadone,5,7.37
2016,51095,James City,Heroin,*,*
2018,51079,Greene,Rx N SS Methadone,0,0
2015,51035,Carroll,Any Opioids,*,*
2015,51121,Montgomery,Any Opioids,*,*
2016,51740,Portsmouth,Methadone,*,*
2016,51125,Nelson,Heroin,*,*
2017,51710,Norfolk,Rx N SS Methadone,9,3.68
2017,51685,Manassas Park,Methadone,0,0
2016,51690,Martinsville,All Drugs,*,*
2017,51017,Bath,Rx N SS Methadone,0,0
2018,51700,Newport News,Rx N SS Methadone,6,3.36
2015,51810,Virginia Beach,All Drugs,62,13.69
2016,51153,Prince William,Methadone,*,*
2016,51015,Augusta,All Drugs,6,8.00
2017,51520,Bristol,Heroin,0,0
2017,51109,Louisa,Heroin,*,*
2017,51720,Norton,Rx N SS Methadone,0,0
2015,51005,Alleghany,N SS Opioids,0,0
2018,51775,Salem,Methadone,0,0
2017,51071,Giles,All Drugs,6,35.64
2017,51061,Fauquier,Methadone,0,0
2016,51595,Emporia,Rx N SS Methadone,0,0
2017,51735,Poquoson,N SS Opioids,0,0
2016,51167,Russell,All Drugs,7,25.58
2016,51149,Prince George,N SS Opioids,*,*
2015,51011,Appomattox,Methadone,*,*
2018,51017,Bath,All Drugs,*,*
2018,51121,Montgomery,S Opioids No Methadone,*,*
2015,51179,Stafford,Rx N SS Methadone,*,*
2016,51043,Clarke,S Opioids No Methadone,*,*
2017,51830,Williamsburg,Methadone,0,0
2015,51035,Carroll,N SS S Opioids,*,*
2018,51069,Frederick,Methadone,*,*
2018,51720,Norton,All Drugs,*,*
2015,51660,Harrisonburg,Heroin,0,0
2016,51183,Sussex,All Drugs,*,*
2015,51091,Highland,Methadone,0,0
2017,51600,Fairfax City,Any Opioids,6,24.90
2017,51095,James City,N SS Opioids,*,*
2016,51173,Smyth,Methadone,*,*
2018,51530,Buena Vista City,All Drugs,*,*
2018,51193,Westmoreland,Heroin,*,*
2017,51051,Dickenson,All Drugs,5,33.82
2018,51117,Mecklenburg,Heroin,*,*
2018,51031,Campbell,N SS Opioids,0,0
2017,51141,Patrick,All Drugs,*,*
2015,51149,Prince George,Rx N SS Methadone,*,*
2016,51163,Rockbridge,All Drugs,*,*
2015,51167,Russell,Rx N SS Methadone,*,*
2017,51800,Suffolk,Any Opioids,9,9.97
2016,51099,King George,Any Opioids,7,26.94
2015,51117,Mecklenburg,All Drugs,5,16.09
2015,51595,Emporia,All Drugs,0,0
2017,51131,Northampton,All Drugs,*,*
2015,51193,Westmoreland,All Drugs,6,34.03
2017,51157,Rappahannock,Methadone,0,0
2015,51530,Buena Vista City,Heroin,0,0
2016,51760,Richmond City,N SS Opioids,15,6.72
2017,51790,Staunton,Heroin,*,*
2018,51660,Harrisonburg,All Drugs,5,9.25
2018,51013,Arlington,N SS Opioids,*,*
2017,51023,Botetourt,Any Opioids,*,*
2018,51019,Bedford,Methadone,0,0
2015,51139,Page,N SS S Opioids,*,*
2015,51057,Essex,Rx N SS Methadone,0,0
2017,51033,Caroline,Any Opioids,7,22.98
2018,51001,Accomack,Any Opioids,*,*
2017,51045,Craig,N SS Opioids,0,0
2017,51530,Buena Vista City,Rx N SS Methadone,0,0
2015,51073,Gloucester,Methadone,0,0
2018,51051,Dickenson,Rx N SS Methadone,*,*
2017,51077,Grayson,Rx N SS Methadone,0,0
2017,51043,Clarke,N SS Opioids,0,0
2016,51800,Suffolk,Heroin,0,0
2016,51790,Staunton,Any Opioids,*,*
2016,51165,Rockingham,N SS Opioids,0,0
2016,51065,Fluvanna,Rx N SS Methadone,0,0
2018,51007,Amelia,S Opioids No Methadone,*,*
2015,51067,Franklin County,N SS Opioids,*,*
2017,51199,York,N SS Opioids,0,0
2018,51163,Rockbridge,All Drugs,*,*
