State,County,FIPS,DispenseRatePer100,Year
AL,AUTAUGA,1001,98.3,2020
AL,BALDWIN,1003,65,2020
AL,BARBOUR,1005,22.8,2020
AL,BIBB,1007,24.8,2020
AL,BLOUNT,1009,22.8,2020
AL,BULLOCK,1011,22,2020
AL,BUTLER,1013,35.1,2020
AL,CALHOUN,1015,97.9,2020
AL,CHAMBERS,1017,60.5,2020
AL,CHEROKEE,1019,50.6,2020
AL,CHILTON,1021,39.3,2020
AL,CHOCTAW,1023,37.8,2020
AL,CLARKE,1025,65.9,2020
AL,CLAY,1027,81.7,2020
AL,CLEBURNE,1029,5.7,2020
AL,COFFEE,1031,74.4,2020
AL,COLBERT,1033,150,2020
AL,CONECUH,1035,113.3,2020
AL,COOSA,1037,0,2020
AL,COVINGTON,1039,85.3,2020
AL,CRENSHAW,1041,33.4,2020
AL,CULLMAN,1043,81.1,2020
AL,DALE,1045,31.8,2020
AL,DALLAS,1047,62.7,2020
AL,DE KALB,1049,64.3,2020
AL,ELMORE,1051,26.8,2020
AL,ESCAMBIA,1053,81.2,2020
AL,ETOWAH,1055,102.8,2020
AL,FAYETTE,1057,53.6,2020
AL,FRANKLIN,1059,89.4,2020
AL,GENEVA,1061,17,2020
AL,GREENE,1063,16.5,2020
AL,HALE,1065,22.6,2020
AL,HENRY,1067,46.2,2020
AL,HOUSTON,1069,136.5,2020
AL,JACKSON,1071,71.7,2020
AL,JEFFERSON,1073,139,2020
AL,LAMAR,1075,10.7,2020
AL,LAUDERDALE,1077,57.3,2020
AL,LAWRENCE,1079,28.3,2020
AL,LEE,1081,35.4,2020
AL,LIMESTONE,1083,26.9,2020
AL,LOWNDES,1085,8.3,2020
AL,MACON,1087,11.3,2020
AL,MADISON,1089,87.3,2020
AL,MARENGO,1091,58.8,2020
AL,MARION,1093,106,2020
AL,MARSHALL,1095,92.2,2020
AL,MOBILE,1097,98,2020
AL,MONROE,1099,53.7,2020
AL,MONTGOMERY,1101,86.3,2020
AL,MORGAN,1103,67.9,2020
AL,PERRY,1105,17.3,2020
AL,PICKENS,1107,43.7,2020
AL,PIKE,1109,38.5,2020
AL,RANDOLPH,1111,47,2020
AL,RUSSELL,1113,35.9,2020
AL,SAINT CLAIR,1115,63,2020
AL,SHELBY,1117,64.6,2020
AL,SUMTER,1119,41.9,2020
AL,TALLADEGA,1121,39.7,2020
AL,TALLAPOOSA,1123,43.4,2020
AL,TUSCALOOSA,1125,86.6,2020
AL,WALKER,1127,123,2020
AL,WASHINGTON,1129,29.4,2020
AL,WILCOX,1131,16,2020
AL,WINSTON,1133,65,2020
AK,ALEUTIANS EAST,2013,9.6,2020
AK,ALEUTIANS WEST,2016,2.1,2020
AK,ANCHORAGE,2020,47.2,2020
AK,BETHEL,2050,8.8,2020
AK,BRISTOL BAY,2060,6.4,2020
AK,DENALI,2068,5.2,2020
AK,DILLINGHAM,2070,1.7,2020
AK,FAIRBANKS NORTH STAR,2090,29.7,2020
AK,HAINES,2100,0.5,2020
AK,HOONAH ANGOON,2105,3,2020
AK,JUNEAU,2110,29.2,2020
AK,KENAI PENINSULA,2122,47.3,2020
AK,KETCHIKAN GATEWAY,2130,49.5,2020
AK,KODIAK ISLAND,2150,18,2020
AK,KUSILVAK,2158,1,2020
AK,MATANUSKA SUSITNA,2170,38,2020
AK,NOME,2180,3,2020
AK,NORTH SLOPE,2185,2.2,2020
AK,NORTHWEST ARCTIC,2188,11.2,2020
AK,PETERSBURG,2195,67,2020
AK,PRINCE OF WALES HYDER,2198,18,2020
AK,SITKA,2220,14.8,2020
AK,SKAGWAY,2230,10.4,2020
AK,SOUTHEAST FAIRBANKS,2240,14.1,2020
AK,WRANGELL,2275,3.9,2020
AK,YAKUTAT,2282,8.1,2020
AK,YUKON KOYUKUK,2290,2.6,2020
AZ,APACHE,4001,4.9,2020
AZ,COCHISE,4003,34.4,2020
AZ,COCONINO,4005,32.2,2020
AZ,GILA,4007,42.8,2020
AZ,GRAHAM,4009,51.6,2020
AZ,GREENLEE,4011,1.6,2020
AZ,LA PAZ,4012,14.8,2020
AZ,MARICOPA,4013,42.4,2020
AZ,MOHAVE,4015,66.4,2020
AZ,NAVAJO,4017,43.6,2020
AZ,PIMA,4019,46.9,2020
AZ,PINAL,4021,10.5,2020
AZ,SANTA CRUZ,4023,5.9,2020
AZ,YAVAPAI,4025,48.6,2020
AZ,YUMA,4027,28.2,2020
AR,ARKANSAS,5001,70.7,2020
AR,ASHLEY,5003,26,2020
AR,BAXTER,5005,136.7,2020
AR,BENTON,5007,37.1,2020
AR,BOONE,5009,67.2,2020
AR,BRADLEY,5011,73.8,2020
AR,CALHOUN,5013,15.3,2020
AR,CARROLL,5015,37.4,2020
AR,CHICOT,5017,90,2020
AR,CLARK,5019,54.7,2020
AR,CLAY,5021,72.7,2020
AR,CLEBURNE,5023,53.9,2020
AR,CLEVELAND,5025,4.9,2020
AR,COLUMBIA,5027,51.7,2020
AR,CONWAY,5029,38.2,2020
AR,CRAIGHEAD,5031,164,2020
AR,CRAWFORD,5033,51.4,2020
AR,CRITTENDEN,5035,59.6,2020
AR,CROSS,5037,59.7,2020
AR,DALLAS,5039,31.6,2020
AR,DESHA,5041,85.2,2020
AR,DREW,5043,91.2,2020
AR,FAULKNER,5045,64,2020
AR,FRANKLIN,5047,40.2,2020
AR,FULTON,5049,62.1,2020
AR,GARLAND,5051,112.9,2020
AR,GRANT,5053,12.6,2020
AR,GREENE,5055,98.8,2020
AR,HEMPSTEAD,5057,40,2020
AR,HOT SPRING,5059,38,2020
AR,HOWARD,5061,58.5,2020
AR,INDEPENDENCE,5063,132.5,2020
AR,IZARD,5065,70.5,2020
AR,JACKSON,5067,55,2020
AR,JEFFERSON,5069,98.7,2020
AR,JOHNSON,5071,52.3,2020
AR,LAFAYETTE,5073,91.5,2020
AR,LAWRENCE,5075,45.2,2020
AR,LEE,5077,82,2020
AR,LINCOLN,5079,11.1,2020
AR,LITTLE RIVER,5081,96.4,2020
AR,LOGAN,5083,24.6,2020
AR,LONOKE,5085,16.9,2020
AR,MADISON,5087,29.5,2020
AR,MARION,5089,7.2,2020
AR,MILLER,5091,83.4,2020
AR,MISSISSIPPI,5093,59.5,2020
AR,MONROE,5095,5.9,2020
AR,MONTGOMERY,5097,80.6,2020
AR,NEVADA,5099,21.7,2020
AR,NEWTON,5101,1.4,2020
AR,OUACHITA,5103,70.7,2020
AR,PERRY,5105,12,2020
AR,PHILLIPS,5107,84.2,2020
AR,PIKE,5109,30.4,2020
AR,POINSETT,5111,69,2020
