,County,State,County FIPS Code,Opioid Dispensing Rate per 100,Year
2806,Accomack,VA,51001,51.7,2006
2807,Albemarle,VA,51003,72.1,2006
2808,Alleghany,VA,51005,62.8,2006
2809,Amelia,VA,51007,54.1,2006
2810,Amherst,VA,51009,80.8,2006
2811,Appomattox,VA,51011,70.7,2006
2812,Arlington,VA,51013,28.7,2006
2813,Augusta,VA,51015,30.7,2006
2814,Bath,VA,51017,70,2006
2815,Bedford,VA,51019,35.3,2006
2816,Bland,VA,51021,110.4,2006
2817,Botetourt,VA,51023,32.5,2006
2818,Brunswick,VA,51025,24.7,2006
2819,Buchanan,VA,51027,75.5,2006
2820,Buckingham,VA,51029,–,2006
2821,Campbell,VA,51031,43.3,2006
2822,Caroline,VA,51033,27.9,2006
2823,Carroll,VA,51035,51,2006
2824,Charles City,VA,51036,–,2006
2825,Charlotte,VA,51037,38.9,2006
2826,Chesterfield,VA,51041,67.2,2006
2827,Clarke,VA,51043,–,2006
2828,Craig,VA,51045,–,2006
2829,Culpeper,VA,51047,74,2006
2830,Cumberland,VA,51049,15.1,2006
2831,Dickenson,VA,51051,220.6,2006
2832,Dinwiddie,VA,51053,7.6,2006
2833,Essex,VA,51057,82.9,2006
2834,Fairfax,VA,51059,35.7,2006
2835,Fauquier,VA,51061,88.4,2006
2836,Floyd,VA,51063,48.3,2006
2837,Fluvanna,VA,51065,28.8,2006
2838,Franklin,VA,51067,82.8,2006
2839,Frederick,VA,51069,35.8,2006
2840,Giles,VA,51071,158.7,2006
2841,Gloucester,VA,51073,95.3,2006
2842,Goochland,VA,51075,22.1,2006
2843,Grayson,VA,51077,5.1,2006
2844,Greene,VA,51079,–,2006
2845,Greensville,VA,51081,–,2006
2846,Halifax,VA,51083,65.5,2006
2847,Hanover,VA,51085,75.1,2006
2848,Henrico,VA,51087,72.6,2006
2849,Henry,VA,51089,57.3,2006
2850,Highland,VA,51091,–,2006
2851,Isle Of Wight,VA,51093,53.3,2006
2852,James City,VA,51095,106.5,2006
2853,King And Queen,VA,51097,–,2006
2854,King George,VA,51099,29.6,2006
2855,King William,VA,51101,34.5,2006
2856,Lancaster,VA,51103,140.6,2006
2857,Lee,VA,51105,121.4,2006
2858,Loudoun,VA,51107,40.9,2006
2859,Louisa,VA,51109,52.1,2006
2860,Lunenburg,VA,51111,–,2006
2861,Madison,VA,51113,–,2006
2862,Mathews,VA,51115,–,2006
2863,Mecklenburg,VA,51117,83.3,2006
2864,Middlesex,VA,51119,–,2006
2865,Montgomery,VA,51121,88.6,2006
2866,Nelson,VA,51125,32.2,2006
2867,New Kent,VA,51127,61.4,2006
2868,Northampton,VA,51131,107.6,2006
2869,Northumberland,VA,51133,30.3,2006
2870,Nottoway,VA,51135,55.6,2006
2871,Orange,VA,51137,66.3,2006
2872,Page,VA,51139,67,2006
2873,Patrick,VA,51141,74.6,2006
2874,Pittsylvania,VA,51143,19.7,2006
2875,Powhatan,VA,51145,44.6,2006
2876,Prince Edward,VA,51147,95.4,2006
2877,Prince George,VA,51149,–,2006
2878,Prince William,VA,51153,38.9,2006
2879,Pulaski,VA,51155,189.2,2006
2880,Rappahannock,VA,51157,–,2006
2881,Richmond,VA,51159,55.8,2006
2882,Roanoke,VA,51161,91.5,2006
2883,Rockbridge,VA,51163,–,2006
2884,Rockingham,VA,51165,24,2006
2885,Russell,VA,51167,170,2006
2886,Scott,VA,51169,197.7,2006
2887,Shenandoah,VA,51171,57.6,2006
2888,Smyth,VA,51173,100.5,2006
2889,Southampton,VA,51175,5.5,2006
2890,Spotsylvania,VA,51177,61.6,2006
2891,Stafford,VA,51179,58.4,2006
2892,Surry,VA,51181,–,2006
2893,Sussex,VA,51183,40.6,2006
2894,Tazewell,VA,51185,202.1,2006
2895,Warren,VA,51187,87.8,2006
2896,Washington,VA,51191,140,2006
2897,Westmoreland,VA,51193,51.3,2006
2898,Wise,VA,51195,222.3,2006
2899,Wythe,VA,51197,101.9,2006
2900,York,VA,51199,44.8,2006
2901,Alexandria,VA,51510,38.4,2006
2902,Bedford City,VA,51515,–,2006
2903,Bristol,VA,51520,260.3,2006
2904,Buena Vista,VA,51530,99.2,2006
2905,Charlottesville,VA,51540,77.9,2006
2906,Chesapeake,VA,51550,77.3,2006
2907,Colonial Heights,VA,51570,276,2006
2908,Covington,VA,51580,246,2006
2909,Danville,VA,51590,158.8,2006
2910,Emporia,VA,51595,217.6,2006
2911,Fairfax City,VA,51600,87.7,2006
2912,Falls Church,VA,51610,93.6,2006
2913,Franklin City,VA,51620,178.5,2006
2914,Fredericksburg,VA,51630,256,2006
2915,Galax,VA,51640,383.9,2006
2916,Hampton,VA,51650,77.8,2006
2917,Harrisonburg,VA,51660,132.9,2006
2918,Hopewell,VA,51670,111.4,2006
2919,Lexington,VA,51678,205,2006
2920,Lynchburg,VA,51680,144.6,2006
2921,Manassas,VA,51683,125.2,2006
2922,Manassas Park,VA,51685,–,2006
2923,Martinsville,VA,51690,403.3,2006
2924,Newport News,VA,51700,67.6,2006
2925,Norfolk,VA,51710,49.3,2006
2926,Norton,VA,51720,251.6,2006
2927,Petersburg,VA,51730,93.2,2006
2928,Poquoson,VA,51735,89.2,2006
2929,Portsmouth,VA,51740,81.9,2006
2930,Radford,VA,51750,133.2,2006
2931,Richmond City,VA,51760,57.2,2006
2932,Roanoke City,VA,51770,120.9,2006
2933,Salem,VA,51775,217.3,2006
2934,Staunton,VA,51790,179.5,2006
2935,Suffolk,VA,51800,57.2,2006
2936,Virginia Beach,VA,51810,64.3,2006
2937,Waynesboro,VA,51820,204.2,2006
2938,Williamsburg,VA,51830,–,2006
2939,Winchester,VA,51840,297.7,2006
5949,Accomack,VA,51001,57,2007
5950,Albemarle,VA,51003,78.3,2007
5951,Alleghany,VA,51005,65.7,2007
5952,Amelia,VA,51007,64.3,2007
5953,Amherst,VA,51009,81,2007
5954,Appomattox,VA,51011,99,2007
5955,Arlington,VA,51013,29.1,2007
5956,Augusta,VA,51015,35.9,2007
5957,Bath,VA,51017,72.1,2007
5958,Bedford,VA,51019,33.7,2007
5959,Bland,VA,51021,108,2007
5960,Botetourt,VA,51023,35.9,2007
5961,Brunswick,VA,51025,25.7,2007
5962,Buchanan,VA,51027,80.6,2007
5963,Buckingham,VA,51029,–,2007
5964,Campbell,VA,51031,42.7,2007
5965,Caroline,VA,51033,22.4,2007
5966,Carroll,VA,51035,57.9,2007
5967,Charles City,VA,51036,–,2007
5968,Charlotte,VA,51037,41.1,2007
5969,Chesterfield,VA,51041,69.3,2007
5970,Clarke,VA,51043,–,2007
5971,Craig,VA,51045,–,2007
5972,Culpeper,VA,51047,87.6,2007
5973,Cumberland,VA,51049,21.7,2007
5974,Dickenson,VA,51051,204.8,2007
5975,Dinwiddie,VA,51053,8.4,2007
5976,Essex,VA,51057,84,2007
5977,Fairfax,VA,51059,36.1,2007
5978,Fauquier,VA,51061,92.8,2007
5979,Floyd,VA,51063,56.4,2007
5980,Fluvanna,VA,51065,33.2,2007
5981,Franklin,VA,51067,96.3,2007
5982,Frederick,VA,51069,42.6,2007
5983,Giles,VA,51071,164.4,2007
5984,Gloucester,VA,51073,97.9,2007
5985,Goochland,VA,51075,23.3,2007
5986,Grayson,VA,51077,28.8,2007
5987,Greene,VA,51079,–,2007
5988,Greensville,VA,51081,–,2007
5989,Halifax,VA,51083,60.3,2007
5990,Hanover,VA,51085,78.7,2007
5991,Henrico,VA,51087,77.3,2007
5992,Henry,VA,51089,65,2007
5993,Highland,VA,51091,–,2007
5994,Isle Of Wight,VA,51093,54.3,2007
5995,James City,VA,51095,106.7,2007
5996,King And Queen,VA,51097,–,2007
5997,King George,VA,51099,31,2007
5998,King William,VA,51101,43.2,2007
5999,Lancaster,VA,51103,151.3,2007
6000,Lee,VA,51105,139.7,2007
6001,Loudoun,VA,51107,41,2007
6002,Louisa,VA,51109,52.1,2007
6003,Lunenburg,VA,51111,–,2007
6004,Madison,VA,51113,–,2007
6005,Mathews,VA,51115,–,2007
6006,Mecklenburg,VA,51117,90.6,2007
6007,Middlesex,VA,51119,–,2007
6008,Montgomery,VA,51121,86.4,2007
6009,Nelson,VA,51125,36.6,2007
6010,New Kent,VA,51127,60.6,2007
6011,Northampton,VA,51131,125.4,2007
6012,Northumberland,VA,51133,33.3,2007
6013,Nottoway,VA,51135,61.5,2007
6014,Orange,VA,51137,81.4,2007
6015,Page,VA,51139,74.1,2007
6016,Patrick,VA,51141,99.6,2007
6017,Pittsylvania,VA,51143,22.2,2007
6018,Powhatan,VA,51145,47.8,2007
6019,Prince Edward,VA,51147,104.9,2007
6020,Prince George,VA,51149,–,2007
6021,Prince William,VA,51153,40.9,2007
6022,Pulaski,VA,51155,177.1,2007
6023,Rappahannock,VA,51157,–,2007
6024,Richmond,VA,51159,51.9,2007
6025,Roanoke,VA,51161,90.4,2007
6026,Rockbridge,VA,51163,–,2007
6027,Rockingham,VA,51165,29,2007
6028,Russell,VA,51167,183,2007
6029,Scott,VA,51169,175.1,2007
6030,Shenandoah,VA,51171,61.3,2007
6031,Smyth,VA,51173,108.6,2007
6032,Southampton,VA,51175,4.2,2007
6033,Spotsylvania,VA,51177,69.4,2007
6034,Stafford,VA,51179,61.3,2007
6035,Surry,VA,51181,–,2007
6036,Sussex,VA,51183,31.4,2007
6037,Tazewell,VA,51185,195.5,2007
6038,Warren,VA,51187,87.4,2007
6039,Washington,VA,51191,155.8,2007
6040,Westmoreland,VA,51193,51.9,2007
6041,Wise,VA,51195,230.1,2007
6042,Wythe,VA,51197,103.4,2007
6043,York,VA,51199,44.2,2007
6044,Alexandria,VA,51510,40.1,2007
6045,Bedford City,VA,51515,–,2007
6046,Bristol,VA,51520,260.6,2007
6047,Buena Vista,VA,51530,85.2,2007
6048,Charlottesville,VA,51540,83.1,2007
6049,Chesapeake,VA,51550,83.2,2007
6050,Colonial Heights,VA,51570,296,2007
6051,Covington,VA,51580,250.1,2007
6052,Danville,VA,51590,146.7,2007
6053,Emporia,VA,51595,221.2,2007
6054,Fairfax City,VA,51600,89.6,2007
6055,Falls Church,VA,51610,91.4,2007
6056,Franklin City,VA,51620,169,2007
6057,Fredericksburg,VA,51630,224,2007
6058,Galax,VA,51640,400.8,2007
6059,Hampton,VA,51650,80.2,2007
6060,Harrisonburg,VA,51660,133.8,2007
6061,Hopewell,VA,51670,117.8,2007
